author,comment
@arvindjeeva1516,Love you Veda 😍✨💫❤️from Bangalore📍
@mnu5514,Veedan the raper...
@Human-tt5re,❤❤❤❤❤❤
@jaisurya5353,Vedan❤❤ im from Tamil nadu bro we support you..
@rohitraju8485,"Mr Vedan,You are not Dalit ,Your father is Izhava and your Mother is Srilankan - Don&#39;t make fake father ,don&#39;t ruin your mother Genuinely , You are insulting Pulayans and Parayan in the name of ,Poykayil  .....mon"
@petchimuthu6955,Tamil .... vedan fans
@JamesRodriguez-t3e,Anyone after Vedans second arrest..?
@anandbarvin,நான் தமிழன் but வேடன் ரசிகன்
@AneeshKumar-rw4ir,ഊമ്പലും ഉപദേശവും 😀😀മക്കളെ സിന്തറ്റിക് ഡ്രഗ് അടിക്കല്ലേ മക്കളെ ഡ്രഗ് അടിച്ചിട്ട് പിടിപ്പിക്കല്ലേ 😂😂😂പാവപെട്ട കുറെ പേരെ പറ്റിച്ചു ജീവിക്കുന്ന ഒരു vettavaliyan
@i.srivinbharathkrishna8950,Please tamil dubbing send bro
@pmshareef6336,നീ തമ്പുരാനും അല്ല ആണേൽ ഒരു മൈരും ഇല്ല 🔥🔥🔥
@IshaqueAboobacker-e5s,This lyrics🔥🔥🔥🔥🔥🔥🔥
@lutherjubilee5513,Rapper Vedan ❌ Rapist Vedan ✅
@IshaqueAboobacker-e5s,I always with Vedan🫂🥰💪
@IshaqueAboobacker-e5s,It&#39;s higher than heaven🥶🔥🔥🔥🔥
@IshaqueAboobacker-e5s,Moone🔥🔥🔥🔥🔥🔥🔥🔥
@sandrasandra2420,ഒരു പെൺകുട്ടിക്ക് വിവാഹ വാഗ്ദാനം നൽകി അവളെ ശാരീരികമായി ഉപയോഗിചിട്ട് അവൻ നിന്ന് പ്രസംഗിക്കുന്നത് കണ്ടില്ലേ
@SST2-n7o,He is a seeker of women.<br>Stay away
@AdityaRoy-hq8ox,This is straight up 🔥
@jimmythehat579,"<b>സ്ത്രീയെ ലൈംഗീക</b> <b>ആവശ്യത്തിന് ഉപയോഗിച്ച്**അവളെ ഉപേക്ഷിക്കുന്ന vedan നമുടെ</b> <b>പാഠ്യപദ്ധതി യില്‍ ഉള്‍പ്പെടുത്താന്‍</b> <b>അപേക്ഷിക്കുന്നു, *നമുടെ കുട്ടികൾ മാതൃക ആകട്ടെ</b>"
@nitinshaji7692,ബലൂച്ച് ജനതയ്ക്ക് നിൻറെ ഈ പാട്ട് ഉപകാരം ചെയ്യും... അങ്ങനെയെങ്കിലും നമ്മുടെ ശത്രു രാജ്യത്തിന് നിൻറെ പാട്ടുകേട്ട് ആവേശം കേറി ബലൂചിസ്ഥാനിലെ പിള്ളേര് പാക്കിസ്ഥാനിൽ അടിക്കട്ടെ എന്നിട്ട് അടിച്ച് തകർക്കട്ടെ...
@meenGfromthehood,🔥🔥🔥
@THIRTHthirth-t6y,Sambhavami yuge yuge
@Kraj11,Just got a fan from Karnataka 🎉
@Minnus627,😂😂❤️❤️❤️❤️❤️
@geethamadhavi6565,Vada beda😢
@arjuntv485,🔥🔥🔥
@BinuPeter-hp4fx,"<a href=""https://www.youtube.com/shorts/WEiJm4hXvhw"">https://youtube.com/shorts/WEiJm4hXvhw?si=9RA_30LODka9UdPj</a>"
@sadme1879,Anyone 2025
@imaxxw,Vedan better
@DhaneshA-i1p,പുലിക്കുട്ടി 💥✨🎆❤️‍🔥❤️‍🔥❤️‍🔥
@MaligaeRamasamy,BB❤❤🎉🎉
@editor._psychoeditor._psycho,❤
@kadhirkarthi8702,Dae veda from cbe🎉
@MurugeshK-d5w,தமிழ் 🥰
@ShinoChacko-im2uz,Vedan  ❤
@S.நிலா,ஜாதியை கட்டும் மிருகத்திற்கு-----அடி🙏🏻🙏🏻🙏🏻🏹🎤🎤🎤🌕
@ajinnavin3032,Love from tamil nadu
@nitinshaji7692,"പറയുന്നതുകൊണ്ട് ഒന്നും തോന്നരുത് വെടാ... നീ മോദിയെ കപട ദേശാഭിമാനി എന്ന് വിളിച്ച സ്ഥിതിക്ക്... ഞാനൊരു കാര്യം പറയട്ടെ... അദ്ദേഹത്തിൻറെ ചെറുപ്പകാലം എന്തെന്ന് നിനക്കറിയുമോ?. അത് നീ അറിഞ്ഞു കഴിഞ്ഞാൽ പിന്നെ നീ അദ്ദേഹത്തിൻറെ മുന്നിൽ പൂവിട്ടു പൂജിക്കും....<br>നീ പറഞ്ഞ കപട ദേശാഭിമാനി എന്ന് പറയുന്ന പ്രധാനമന്ത്രി ആണ് ഈ രാജ്യം ഭരിക്കുന്നത് കൊണ്ടാണ്... ഈ രാജ്യം വികസിച്ചുകൊണ്ടിരിക്കുന്നത്...<br> ഉറിയും പഹൽഗാമം പത്താംകോട്ടും പുൽവാമയിൽ ഒക്കെ പാക്കിസ്ഥാൻ കേറി അടിച്ചപ്പോൾ അവർക്ക് അതിശക്തമായ രീതിയിൽ പ്രതികരിക്കാൻ പോലും പറ്റാത്ത രീതിയിൽ തിരിച്ചടിച്ച പ്രധാനമന്ത്രി ആണ് ശ്രീ നരേന്ദ്ര മോദി , അതുകൊണ്ട് ഞാൻ പ്രധാനമന്ത്രിക്ക് ഒപ്പം നിൽക്കുന്നു. <br>ഒരു ചായക്കടക്കാരന് മോനായി ജനിച്ച അദ്ദേഹം എന്തോരം കഷ്ടപ്പെട്ടു എന്ന് നിനക്ക് മനസ്സിലാക്കണമെങ്കിൽ അദ്ദേഹത്തിന് ചരിത്രം പഠിക്കണം.<br>ഞാനിവിടെ പ്രധാനമന്ത്രിയുടെ പ്രതിനിധി ആയിട്ട് പറയുന്നു എന്ന് നിങ്ങൾ തോന്നുന്നുണ്ടെങ്കിൽ... എനിക്കൊന്നും പറയാനില്ല"
@shimjiponnuse4438,❤
@SHESHAMSCREENIL,"ദോഷം പറയരുത്,, ആ പെങ്കൊച്ചിനെ തിരിച്ചറിയുന്ന ഒറ്റ ഷോർട്ട് ഇല്ല...."
@MohammedNoushadCN,മാനവികർ കുലംകുത്തി വാഴിലും നിലം...<br>സ്വാർത്ഥ ജന്മ യുദ്ധങ്ങൾ മരിക്കുകയില്ലാ മറക്കുവോളം...<br>സമരമുഖ പിഞ്ചോമനകൾ പിറക്കും ദ്വാനിയിൽ....<br>ചിനാ മതിൽ വിറക്കും വിപ്ലവത്തിൽ...<br><br><br><br>മനുഷ്യ നിൻ വഴി.....<br>നാടിൻ (വിപ്ലവത്തിന് )വഴിയാവട്ടയോ....✊
@mantasmatusevicius8588,"i dont know Indian, but this man want to say he workds hard and need feed his family, and he angry for goverment"
@chozan1788,"അഭിനന്ദനങ്ങൾ, എന്റെ പ്രിയ സുഹൃത്തേ... നിങ്ങളുടെ ശബ്ദം ഞങ്ങളുടെ ശബ്ദമാണ്! -மிக அருமை தோழர் வாழ்த்துகள் ...உங்கள் குரல் எங்கள் குரல்!"
@Sajidrinu,❤️‍🔥❤️‍🔥❤️‍🔥Vedaaa❤️‍🔥❤️‍🔥❤️‍🔥
@remyavijayan3106,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️vadan
@Yehiya2007,Super vera ragam ta dai
@Mizhi_21,വേടൻ ഇല്ലാ കഥ പറയുകയില്ല ഉഫ്ഫ്ഫ്ഫ് 🙌💯❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
@nitinshaji7692,ഈ പാട്ട് ബലൂച്ച് ഭാഷയിൽ തർജ്ജമ ചെയ്തു ധൈര്യമുണ്ടെങ്കിൽ ഇൻസ്റ്റഗ്രാമിൽ ഇടു....
@thajukooloth401,Vada Veda we’re with you 🥰👍✌🏻🎉🎉🎉
@Jagathi2006,Ssws
